mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
12	12	41	45	0.0		1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5	_	
12	12	42	46	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	91				
12	12	40	44	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	92				
12	12	42	46	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	93				
13	13	44	48	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	94				
13	13	46	50	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	95				
13	13	44	48	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	96				
13	13	46	50	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	97				
13	13	44	48	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	98				
13	13	46	50	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	99				
13	13	44	48	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	100				
13	13	46	50	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	101				
14	14	48	52	4.0		0	0	Chord	4/4	1	1	1	1	1	102				
14	14	48	52	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	103				
14	14	50	54	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	104				
14	14	48	52	0.0		0	0	FiguredBass	4/4	2	1	0				1/2	8	4	
14	14	48	52	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	105				
14	14	50	54	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/4	_	#	
14	14	51	55	0.0		3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7		
14	14	51	55	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	106				
14	14	48	52	4.0		0	0	Chord	4/4	2	2	1	1	1	107				
15	15	52	56	4.0		0	0	Chord	4/4	1	1	1	1	1	108				
15	15	52	56	4.0		0	0	Chord	4/4	1	2	1	1	1	109				
15	15	52	56	4.0		0	0	Chord	4/4	2	1	1	1	1	110				
15	15	52	56	4.0		0	0	Chord	4/4	2	2	1	1	1	111				
16	16	56	60	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	112				
16	16	58	62	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	113				
16	16	56	60	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	114				
16	16	57	61	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	115				
16	16	58	62	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	116				
16	16	56	60	0.0		0	0	FiguredBass	4/4	2	1	0				1/4	5		
16	16	56	60	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	117				
16	16	57	61	0.0		1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6\		
16	16	58	62	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	118				
16	16	56	60	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	119				
16	16	58	62	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	120				
17	17	60	64	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	121				
17	17	62	66	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	122				
17	17	60	64	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	123				
17	17	62	66	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	124				
17	17	60	64	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	125				
17	17	62	66	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	126				
17	17	60	64	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	127				
17	17	62	66	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	128				
18	18	64	68	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	129				
18	18	66	70	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	130				
18	18	64	68	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	131				
18	18	66	70	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	132				
18	18	64	68	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	133				
18	18	66	70	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6		
18	18	66	70	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	134				
18	18	64	68	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	135				
18	18	66	70	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	136				
19	19	68	72	4.0		0	0	Chord	4/4	1	1	1	1	1	137				
19	19	68	72	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	138				
19	19	70	74	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	139				
19	19	71	75	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	140				
19	19	68	72	0.0		0	0	FiguredBass	4/4	2	1	0				1/2	6		
19	19	68	72	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	141				
19	19	70	74	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/4	8		
19	19	70	74	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	142				
19	19	71	75	0.0		3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7		
19	19	68	72	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	143				
19	19	70	74	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	144				
20	20	72	76	4.0		0	0	Chord	4/4	1	1	1	1	1	145				
20	20	72	76	4.0		0	0	Chord	4/4	1	2	1	1	1	146				
20	20	72	76	4.0		0	0	Chord	4/4	2	1	1	1	1	147				
20	20	72	76	4.0		0	0	Chord	4/4	2	2	1	1	1	148				
21	21	76	80	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	149				
21	21	78	82	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	150				
21	21	76	80	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	151				
21	21	78	82	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	152				
21	21	76	80	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	153				
21	21	78	82	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	154				
21	21	76	80	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	155				
21	21	78	82	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	156				
22	22	80	84	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	157				
22	22	82	86	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	158				
22	22	80	84	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	159				
22	22	82	86	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	160				
22	22	80	84	0.0		0	0	FiguredBass	4/4	2	1	0				1/2	7		
22	22	80	84	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	161				
22	22	82	86	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/2	7	#	
22	22	82	86	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	162				
22	22	80	84	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	163				
22	22	82	86	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	164				
23	23	84	88	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	165				
23	23	86	90	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	166				
23	23	84	88	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	167				
23	23	86	90	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	168				
23	23	84	88	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	169				
23	23	86	90	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
23	23	86	90	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	170				
23	23	87	91	0.0		3/4	3/4	FiguredBass	4/4	2	1	0				1/4	_		
23	23	84	88	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	171				
23	23	86	90	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	172				
23	23	87	91	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	173				
24	24	88	92	4.0		0	0	Chord	4/4	1	1	1	1	1	174				
24	24	88	92	4.0		0	0	Chord	4/4	1	2	1	1	1	175				
24	24	88	92	0.0		0	0	FiguredBass	4/4	2	1	0				1	#		
24	24	88	92	4.0		0	0	Chord	4/4	2	1	1	1	1	176				
24	24	88	92	4.0		0	0	Chord	4/4	2	2	1	1	1	177				
25	25	92	96	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	178				
25	25	94	98	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	179				
25	25	92	96	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	180				
25	25	94	98	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	181				
25	25	92	96	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	182				
25	25	94	98	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6\		
25	25	94	98	2.0		1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	183				
25	25	92	96	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	184				
25	25	94	98	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	185				
26	26	96	100	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	186				
26	26	98	102	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	187				2
26	26	99	103	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	188				
26	26	96	100	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	189				
26	26	98	102	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	190				
26	26	96	100	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	191				
26	26	97	101	0.0		1/4	1/4	FiguredBass	4/4	2	1	0				1/4	_		
26	26	98	102	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
26	26	98	102	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	192				
26	26	99	103	0.0		3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6	4	
26	26	99	103	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	193				
26	26	96	100	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	194				
26	26	97	101	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	195				
26	26	98	102	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	196				
26	26	99	103	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	197				
27	27	100	104	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	198				
27	27	102	106	2.0		1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	199				
27	27	100	104	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	200				
27	27	102	106	2.0		1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	201				
27	27	100	104	0.0		0	0	FiguredBass	4/4	2	1	0				1/2	6	5	
27	27	100	104	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	202				
27	27	102	106	0.0		1/2	1/2	FiguredBass	4/4	2	1	0				1/4	8	#	
27	27	102	106	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	203				
27	27	103	107	0.0		3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7		
27	27	103	107	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	204				
27	27	100	104	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	205				
27	27	102	106	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	206				
28	28	104	108	4.0		0	0	Chord	4/4	1	1	1	1	1	207				
28	28	104	108	4.0		0	0	Chord	4/4	1	2	1	1	1	208				
28	28	104	108	4.0		0	0	Chord	4/4	2	1	1	1	1	209				
28	28	104	108	4.0		0	0	Chord	4/4	2	2	1	1	1	210				
